FlightWeek,OriginAirport,OriginCountry,DestinationAirport,DestinationCountry,MainAirlineCarrier,IsConnectingFlight,UserCountry,TripType,CabinClass,NumberOfNights,BookingHorizon,NumberOfRedirects,Revenue
2024-W01,BER,DE,BUD,HU,X3,0,CH,one-way,Premium Economy,7,69,0,81.18
2024-W01,BER,DE,BUD,HU,EW,0,NL,round-trip,Economy,10,22,1,64.47
2024-W01,BER,DE,BUD,HU,EW,0,IT,round-trip,Economy,12,23,2,59.71
2024-W01,BER,DE,BUD,HU,FR,0,DE,round-trip,Economy,7,33,3,43.45
2024-W01,BER,DE,CAG,IT,VY,1,DE,round-trip,Economy,25,22,4,36.03
2024-W01,BER,DE,CAG,IT,LH,1,IT,round-trip,Economy,14,79,2,59.52
2024-W01,BER,DE,CAG,IT,U2,0,DK,round-trip,Business,3,13,3,148.38
2024-W01,BER,DE,CAG,IT,FR,0,DE,one-way,Premium Economy,26,12,2,62.49
2024-W01,BER,DE,CAG,IT,FR,0,DE,round-trip,Economy,11,19,3,54.11
2024-W01,BER,DE,CFU,GR,TO,0,GB,one-way,Economy,2,11,5,71.76
2024-W01,BER,DE,CFU,GR,FR,0,CH,round-trip,Economy,2,54,4,52.96
2024-W01,BER,DE,CGN,DE,FR,0,AT,round-trip,Economy,4,18,1,61.05
2024-W01,BER,DE,CGN,DE,W6,0,DE,round-trip,Economy,19,54,5,37.27
2024-W01,BER,DE,CGN,DE,X3,0,DE,one-way,Premium Economy,3,73,5,91.67
2024-W01,BER,DE,CGN,DE,U2,0,DE,round-trip,Economy,14,29,4,44.67
2024-W01,BER,DE,CGN,DE,EW,0,CH,round-trip,Economy,11,40,3,62.99
2024-W01,BER,DE,CGN,DE,W6,0,IT,round-trip,Economy,10,17,3,46.81
2024-W01,BER,DE,CTA,IT,FR,0,IE,round-trip,Premium Economy,8,7,5,91.29
2024-W01,BER,DE,CTA,IT,EW,0,NL,round-trip,Economy,10,48,1,65.68
2024-W01,BER,DE,CTA,IT,VY,0,AT,round-trip,Economy,3,116,4,48.19
2024-W01,BER,DE,CTA,IT,U2,0,DE,round-trip,Economy,15,37,5,53.04
2024-W01,BER,DE,DBV,HR,LH,0,HU,round-trip,Economy,4,14,2,112.2
2024-W01,BER,DE,DBV,HR,LH,0,BE,round-trip,Economy,8,21,4,86.71
2024-W01,BER,DE,DBV,HR,U2,0,DE,round-trip,Economy,14,30,3,42.44
2024-W01,BER,DE,DBV,HR,AB,1,CH,one-way,Economy,10,65,2,44.34
2024-W01,BER,DE,DLM,TR,EW,0,NL,one-way,Economy,14,32,1,81.9
2024-W01,BER,DE,DLM,TR,U2,0,AT,round-trip,Premium Economy,13,22,0,103.36
2024-W01,BER,DE,DLM,TR,FR,0,DE,one-way,Premium Economy,9,4,3,143.11
2024-W01,BER,DE,DLM,TR,FR,0,CH,round-trip,Economy,13,39,5,62.18
2024-W01,BER,DE,DUB,IE,LH,0,DE,round-trip,Economy,28,45,3,62.29
2024-W01,BER,DE,DUB,IE,LH,1,NL,round-trip,Economy,22,36,7,54.07
2024-W01,BER,DE,DUS,DE,U2,0,CH,round-trip,Economy,4,29,6,43.49
2024-W01,BER,DE,DUS,DE,AB,0,HU,round-trip,Business,13,31,2,188.64
2024-W01,BER,DE,DUS,DE,VY,0,PL,round-trip,Economy,8,36,2,56.37
2024-W01,BER,DE,DUS,DE,FR,0,IE,one-way,Economy,11,26,3,40.17
2024-W01,BER,DE,DUS,DE,EW,0,AT,round-trip,Economy,14,19,6,55.17
2024-W01,BER,DE,EDI,GB,EW,0,CZ,round-trip,Economy,3,67,2,46.78
2024-W01,BER,DE,EDI,GB,EW,0,ES,round-trip,Economy,3,12,1,78.66
2024-W01,BER,DE,FAO,PT,W6,0,CZ,round-trip,Premium Economy,14,10,1,71.77
2024-W01,BER,DE,FAO,PT,U2,0,NO,one-way,Economy,21,52,1,38.75
2024-W01,BER,DE,FAO,PT,FR,0,DE,round-trip,Economy,6,29,2,40.05
2024-W01,BER,DE,FAO,PT,EW,0,DE,round-trip,Economy,11,37,6,47.98
2024-W01,BER,DE,FCO,IT,U2,0,DE,round-trip,Economy,10,15,4,56.56
2024-W01,BER,DE,FCO,IT,EW,0,DE,round-trip,Economy,14,39,6,65.49
2024-W01,BER,DE,FCO,IT,EW,0,ES,round-trip,Economy,7,20,6,70.73
2024-W01,BER,DE,FCO,IT,EW,0,IE,round-trip,Economy,6,48,4,55.99
2024-W01,BER,DE,FCO,IT,FR,0,FR,round-trip,Economy,8,10,4,42.04
2024-W01,BER,DE,FUE,ES,AB,1,IT,round-trip,Economy,7,8,3,67.85
2024-W01,BER,DE,FUE,ES,EW,1,FR,one-way,Economy,10,13,1,101.67
2024-W01,BER,DE,HAM,DE,FR,0,DE,round-trip,Economy,4,84,1,38.33
2024-W01,BER,DE,HAM,DE,LH,0,IE,one-way,Economy,23,47,3,84.26
2024-W01,BER,DE,HAM,DE,LH,0,IE,round-trip,Economy,2,138,1,57.41
2024-W01,BER,DE,HAM,DE,LH,0,ES,round-trip,Economy,14,56,2,51.28
2024-W01,BER,DE,HER,GR,EW,0,DE,round-trip,Economy,14,27,4,43.07
2024-W01,BER,DE,HER,GR,W6,0,DE,round-trip,Business,14,111,1,111.81
2024-W01,BER,DE,HER,GR,VY,0,NL,round-trip,Premium Economy,7,14,4,84.8
2024-W01,BER,DE,HER,GR,X3,1,DE,round-trip,Economy,4,44,4,43.55
2024-W01,BER,DE,HER,GR,EW,1,CZ,one-way,Premium Economy,4,57,4,68.77
2024-W01,BER,DE,HER,GR,DE,0,DE,round-trip,Economy,12,58,3,51.78
2024-W01,BER,DE,IST,TR,EW,0,AT,one-way,Economy,5,172,2,75.5
2024-W01,BER,DE,IST,TR,LH,0,DE,round-trip,Economy,22,17,1,127.29
2024-W01,BER,DE,IST,TR,FR,0,NL,round-trip,Economy,23,31,4,67.19
2024-W01,BER,DE,IST,TR,TO,0,AT,round-trip,Economy,4,12,1,98.05
2024-W01,BER,DE,IST,TR,VY,1,PL,round-trip,Economy,4,8,0,77.12
2024-W01,BER,DE,KRK,PL,U2,0,CH,round-trip,Economy,14,66,4,40.95
2024-W01,BER,DE,KRK,PL,FR,0,IE,one-way,Economy,11,30,3,37.59
2024-W01,BER,DE,KRK,PL,LH,1,DK,round-trip,Economy,14,51,4,48.27
2024-W01,BER,DE,LGW,GB,AB,0,IT,one-way,Premium Economy,10,13,2,99.47
2024-W01,BER,DE,LGW,GB,EW,0,DE,round-trip,Economy,5,14,2,76.79
2024-W01,BER,DE,LGW,GB,FR,0,CH,round-trip,Economy,14,57,3,53.97
2024-W01,BER,DE,LIS,PT,AB,1,DE,round-trip,Economy,2,39,2,44.51
2024-W01,BER,DE,LIS,PT,W6,0,NL,one-way,Economy,11,91,3,33.25
2024-W01,BER,DE,LIS,PT,AB,0,CH,round-trip,Economy,16,78,5,49.55
2024-W01,BER,DE,LPA,ES,EW,0,SE,one-way,Economy,3,40,3,66.08
2024-W01,BER,DE,LPA,ES,AB,0,DE,round-trip,Economy,28,132,5,57.41
2024-W01,BER,DE,LPA,ES,EW,0,CH,round-trip,Business,15,98,0,329.65
2024-W01,BER,DE,MUC,DE,W6,0,ES,round-trip,Economy,28,114,1,44.67
2024-W01,BER,DE,MUC,DE,FR,0,DE,round-trip,Premium Economy,25,45,5,76.53
2024-W01,BER,DE,NAP,IT,FR,0,FR,round-trip,Economy,17,21,2,53.47
2024-W01,BER,DE,OLB,IT,U2,0,GB,one-way,Economy,3,48,3,58.06
2024-W01,BER,DE,OLB,IT,EW,0,DE,round-trip,Economy,10,16,1,61.0
2024-W01,BER,DE,OLB,IT,FR,0,DE,round-trip,Economy,7,59,0,32.61
2024-W01,BER,DE,OLB,IT,X3,1,HU,round-trip,Economy,1,10,4,56.12
2024-W01,BER,DE,PMI,ES,EW,0,IT,round-trip,Economy,4,23,1,54.56
2024-W01,BER,DE,PMI,ES,FR,0,DE,round-trip,Economy,5,50,7,46.29
2024-W01,BER,DE,PMI,ES,EW,1,IE,round-trip,Economy,4,61,1,38.97
2024-W01,BER,DE,PRG,CZ,X3,0,DE,one-way,Economy,19,109,4,66.14
2024-W01,BER,DE,PRG,CZ,U2,0,GB,one-way,Economy,14,21,7,57.9
2024-W01,BER,DE,RHO,GR,X3,0,DE,one-way,Economy,2,14,4,58.91
2024-W01,BER,DE,RHO,GR,EW,0,DE,round-trip,Economy,12,38,5,56.07
2024-W01,BER,DE,RHO,GR,U2,0,NL,one-way,Premium Economy,10,36,2,69.04
2024-W01,BER,DE,RHO,GR,VY,0,NL,round-trip,Economy,2,11,2,59.61
2024-W01,BER,DE,SKG,GR,EW,1,DE,round-trip,Economy,7,13,6,56.98
2024-W01,BER,DE,SKG,GR,VY,0,DE,one-way,Economy,16,17,5,59.32
2024-W01,BER,DE,SKG,GR,U2,0,DE,round-trip,Business,19,19,1,142.94
2024-W01,BER,DE,SKG,GR,FR,0,DE,round-trip,Business,27,104,1,112.55
2024-W01,BER,DE,SKG,GR,EW,0,DE,round-trip,Economy,14,36,4,71.32
2024-W01,BER,DE,SKP,MK,EW,0,PL,round-trip,Economy,6,83,3,67.58
2024-W01,BER,DE,SKP,MK,W6,0,DE,round-trip,Economy,13,24,2,49.18
2024-W01,BER,DE,SPU,HR,TO,0,NL,round-trip,Economy,15,24,6,67.25
2024-W01,BER,DE,SPU,HR,FR,0,NO,one-way,Economy,7,45,3,48.88
2024-W01,BER,DE,STR,DE,LH,0,ES,round-trip,Economy,8,47,2,80.31
2024-W01,BER,DE,STR,DE,VY,0,DE,one-way,Economy,11,19,1,53.3
2024-W01,BER,DE,STR,DE,W6,0,AT,one-way,Economy,9,18,1,42.09
2024-W01,BER,DE,STR,DE,X3,0,AT,round-trip,Economy,14,61,8,56.89
2024-W01,BER,DE,TFS,ES,U2,0,AT,round-trip,Economy,9,58,4,56.52
2024-W01,BER,DE,TFS,ES,U2,0,DE,one-way,Economy,2,79,7,51.78
2024-W01,BER,DE,TFS,ES,LH,0,DE,round-trip,Economy,8,25,1,113.69
2024-W01,BER,DE,TIA,AL,DE,0,CH,round-trip,Economy,16,28,4,90.26
2024-W01,BER,DE,TIA,AL,LH,0,NL,round-trip,Economy,3,9,3,110.22
2024-W01,BER,DE,TIA,AL,AB,0,DK,round-trip,Economy,4,10,3,93.33
2024-W01,BER,DE,TIA,AL,FR,0,DK,one-way,Economy,1,12,2,58.51
2024-W01,BER,DE,WAW,PL,FR,0,DE,one-way,Business,7,12,2,151.78
2024-W01,BER,DE,WAW,PL,U2,0,DE,round-trip,Economy,10,22,4,44.75
2024-W01,BER,DE,WAW,PL,LH,0,NL,round-trip,Economy,14,9,3,87.91
2024-W01,CDG,FR,ACE,ES,EW,1,FR,round-trip,Economy,1,57,2,56.11
2024-W01,CDG,FR,AGP,ES,FR,0,DE,one-way,Economy,11,102,2,33.6
2024-W01,CDG,FR,AGP,ES,EW,0,DE,one-way,Economy,12,45,9,64.14
2024-W01,CDG,FR,ALC,ES,LH,0,IE,round-trip,Business,7,19,1,254.69
2024-W01,CDG,FR,ATH,GR,EW,0,IT,one-way,Economy,10,33,2,48.92
2024-W01,CDG,FR,CFU,GR,DE,0,DE,one-way,Economy,20,15,2,74.66
2024-W01,CDG,FR,DBV,HR,FR,0,NL,one-way,Economy,7,23,1,34.43
2024-W01,CDG,FR,DLM,TR,FR,0,NO,round-trip,Economy,5,27,4,61.27
2024-W01,CDG,FR,FAO,PT,EW,0,PL,round-trip,Business,11,17,0,228.21
2024-W01,CDG,FR,FCO,IT,TO,1,AT,round-trip,Economy,20,51,7,37.8
2024-W01,CDG,FR,HER,GR,EW,0,NL,round-trip,Economy,13,68,5,57.12
2024-W01,CDG,FR,HER,GR,FR,0,DE,round-trip,Economy,2,36,2,42.05
2024-W01,CDG,FR,IST,TR,EW,0,AT,round-trip,Economy,12,12,3,94.15
2024-W01,CDG,FR,IST,TR,AB,0,CH,one-way,Economy,5,6,4,101.66
2024-W01,CDG,FR,KRK,PL,U2,0,DE,round-trip,Economy,7,46,1,44.65
2024-W01,CDG,FR,KRK,PL,FR,0,SE,one-way,Economy,6,11,3,63.72
2024-W01,CDG,FR,LGW,GB,EW,0,DE,round-trip,Economy,4,63,3,54.2
2024-W01,CDG,FR,MUC,DE,LH,0,CZ,one-way,Economy,10,68,1,74.18
2024-W01,CDG,FR,PMI,ES,FR,0,DE,round-trip,Economy,25,32,4,34.72
2024-W01,CDG,FR,PRG,CZ,U2,0,GB,one-way,Economy,2,16,5,57.48
2024-W01,CDG,FR,RHO,GR,EW,0,NL,round-trip,Economy,4,15,2,62.74
2024-W01,CDG,FR,SKP,MK,AB,0,CH,round-trip,Economy,14,10,2,93.04
2024-W01,CDG,FR,SPU,HR,X3,0,FR,one-way,Economy,8,23,2,57.55
2024-W01,CDG,FR,TFS,ES,LH,0,CH,one-way,Economy,12,124,1,81.53
2024-W01,CDG,FR,TIA,AL,EW,0,FR,round-trip,Economy,9,5,1,79.85
2024-W01,CDG,FR,TIA,AL,FR,0,DK,round-trip,Economy,23,48,3,48.72
2024-W01,CDG,FR,WAW,PL,EW,0,DE,round-trip,Economy,28,9,0,76.2
2024-W01,CDG,FR,WAW,PL,W6,0,DE,round-trip,Economy,9,22,5,34.66
2024-W01,CGN,DE,ACE,ES,TO,1,CH,round-trip,Economy,13,21,3,81.08
2024-W01,CGN,DE,ACE,ES,DE,0,HU,round-trip,Economy,7,29,3,98.98
2024-W01,CGN,DE,AGP,ES,FR,0,GB,round-trip,Economy,4,27,2,30.72
2024-W01,CGN,DE,AGP,ES,FR,1,CH,round-trip,Economy,16,29,2,27.91
2024-W01,CGN,DE,AGP,ES,U2,0,PL,round-trip,Economy,6,13,3,51.89
2024-W01,CGN,DE,AGP,ES,U2,0,ES,one-way,Economy,15,41,0,34.15
2024-W01,CGN,DE,AGP,ES,W6,0,DE,one-way,Economy,10,18,2,40.72
2024-W01,CGN,DE,AGP,ES,FR,0,AT,round-trip,Economy,8,39,5,42.26
2024-W01,CGN,DE,AGP,ES,TO,0,IT,round-trip,Economy,6,36,3,65.49
2024-W01,CGN,DE,AGP,ES,AB,0,NL,round-trip,Economy,10,21,4,39.97
2024-W01,CGN,DE,AGP,ES,FR,0,AT,round-trip,Economy,7,112,4,42.52
2024-W01,CGN,DE,AGP,ES,EW,0,IT,round-trip,Economy,8,24,5,57.96
2024-W01,CGN,DE,AGP,ES,VY,0,AT,round-trip,Premium Economy,8,24,4,90.37
2024-W01,CGN,DE,AGP,ES,W6,0,NL,round-trip,Economy,24,20,5,49.7
2024-W01,CGN,DE,ALC,ES,EW,0,ES,round-trip,Economy,6,19,2,60.89
2024-W01,CGN,DE,ATH,GR,U2,0,DE,round-trip,Economy,12,29,5,50.53
2024-W01,CGN,DE,ATH,GR,EW,0,CH,round-trip,Economy,1,43,3,54.54
2024-W01,CGN,DE,ATH,GR,VY,0,CH,round-trip,Economy,9,20,0,58.07
2024-W01,CGN,DE,ATH,GR,U2,0,IT,one-way,Economy,11,51,1,45.78
2024-W01,CGN,DE,ATH,GR,EW,1,AT,one-way,Economy,14,18,3,43.76
2024-W01,CGN,DE,AYT,TR,LH,0,GB,one-way,Business,12,15,1,362.58
2024-W01,CGN,DE,AYT,TR,FR,1,DE,one-way,Economy,11,63,2,43.12
2024-W01,CGN,DE,AYT,TR,DE,1,DE,round-trip,Economy,10,11,1,88.66
2024-W01,CGN,DE,BCN,ES,VY,0,DE,round-trip,Economy,21,64,3,44.56
2024-W01,CGN,DE,BCN,ES,EW,0,FR,round-trip,Economy,14,24,0,58.92
2024-W01,CGN,DE,BCN,ES,EW,0,AT,round-trip,Economy,9,37,2,52.47
2024-W01,CGN,DE,BCN,ES,EW,0,IT,round-trip,Economy,6,24,3,49.37
2024-W01,CGN,DE,BCN,ES,U2,0,PL,round-trip,Business,14,19,4,151.46
2024-W01,CGN,DE,BCN,ES,VY,0,CH,round-trip,Economy,7,24,6,44.33
2024-W01,CGN,DE,BER,DE,TO,0,DE,one-way,Economy,13,79,3,62.24
2024-W01,CGN,DE,BER,DE,DE,1,DE,round-trip,Economy,4,15,6,52.89
2024-W01,CGN,DE,BER,DE,EW,0,DE,round-trip,Economy,6,25,3,62.97
2024-W01,CGN,DE,BER,DE,DE,0,NL,round-trip,Economy,13,58,4,56.63
2024-W01,CGN,DE,BER,DE,LH,0,DE,round-trip,Economy,7,20,3,100.22
2024-W01,CGN,DE,BUD,HU,AB,0,FR,round-trip,Economy,14,13,1,58.24
2024-W01,CGN,DE,BUD,HU,EW,0,IT,round-trip,Economy,1,62,3,60.08
2024-W01,CGN,DE,BUD,HU,W6,0,DE,round-trip,Premium Economy,4,31,1,83.19
2024-W01,CGN,DE,BUD,HU,DE,1,PL,round-trip,Economy,11,11,1,57.21
2024-W01,CGN,DE,BUD,HU,DE,1,CZ,round-trip,Economy,7,49,2,47.64
2024-W01,CGN,DE,CAG,IT,EW,0,AT,one-way,Premium Economy,19,28,0,110.39
2024-W01,CGN,DE,CAG,IT,VY,0,CH,round-trip,Business,11,70,3,125.82
2024-W01,CGN,DE,CAG,IT,U2,0,DE,one-way,Economy,1,15,4,61.29
2024-W01,CGN,DE,CAG,IT,DE,1,AT,round-trip,Economy,16,5,3,63.47
2024-W01,CGN,DE,CAG,IT,LH,0,DE,one-way,Economy,28,165,3,73.23
2024-W01,CGN,DE,CAG,IT,EW,0,DE,one-way,Economy,3,30,3,69.04
2024-W01,CGN,DE,CFU,GR,U2,0,ES,one-way,Economy,16,40,3,42.44
2024-W01,CGN,DE,CFU,GR,U2,0,IE,round-trip,Economy,12,11,2,65.69
2024-W01,CGN,DE,CTA,IT,TO,0,NL,round-trip,Economy,5,19,4,66.9
2024-W01,CGN,DE,CTA,IT,FR,0,PL,one-way,Economy,4,48,3,58.5
2024-W01,CGN,DE,CTA,IT,VY,0,PL,round-trip,Economy,7,72,7,55.19
2024-W01,CGN,DE,CTA,IT,LH,0,IT,round-trip,Economy,24,20,2,83.6
2024-W01,CGN,DE,CTA,IT,U2,0,AT,one-way,Economy,3,34,2,51.54
2024-W01,CGN,DE,CTA,IT,U2,0,ES,round-trip,Premium Economy,8,13,2,94.61
2024-W01,CGN,DE,CTA,IT,DE,1,DE,round-trip,Economy,5,76,0,72.94
2024-W01,CGN,DE,CTA,IT,TO,0,DE,one-way,Economy,14,40,2,44.33
2024-W01,CGN,DE,DBV,HR,VY,0,DE,one-way,Economy,13,12,7,58.83
2024-W01,CGN,DE,DBV,HR,U2,0,NL,round-trip,Economy,7,28,3,43.52
2024-W01,CGN,DE,DBV,HR,VY,0,AT,round-trip,Economy,14,13,4,58.99
2024-W01,CGN,DE,DLM,TR,VY,0,IE,round-trip,Economy,7,36,2,61.28
2024-W01,CGN,DE,DLM,TR,AB,0,DE,one-way,Economy,6,22,1,83.5
2024-W01,CGN,DE,DLM,TR,FR,0,GB,round-trip,Economy,6,41,2,54.43
2024-W01,CGN,DE,DLM,TR,DE,0,DE,round-trip,Economy,14,41,2,93.05
2024-W01,CGN,DE,DLM,TR,TO,0,GB,round-trip,Economy,13,36,3,63.76
2024-W01,CGN,DE,DLM,TR,EW,0,AT,one-way,Economy,5,9,7,104.35
2024-W01,CGN,DE,DLM,TR,AB,0,DK,one-way,Premium Economy,10,32,4,92.11
2024-W01,CGN,DE,DLM,TR,TO,0,GB,round-trip,Premium Economy,28,76,2,116.5
2024-W01,CGN,DE,DLM,TR,LH,0,IT,round-trip,Premium Economy,10,131,1,168.66
2024-W01,CGN,DE,DUB,IE,LH,0,BE,one-way,Economy,2,39,1,76.56
2024-W01,CGN,DE,DUB,IE,FR,0,GB,round-trip,Economy,13,21,1,48.57
2024-W01,CGN,DE,DUB,IE,FR,0,DE,one-way,Economy,9,24,3,57.12
2024-W01,CGN,DE,DUB,IE,FR,0,NL,round-trip,Economy,3,26,2,63.15
2024-W01,CGN,DE,DUB,IE,FR,0,DE,round-trip,Economy,7,26,3,57.6
2024-W01,CGN,DE,DUB,IE,U2,0,GB,round-trip,Economy,7,93,2,42.06
2024-W01,CGN,DE,DUB,IE,LH,0,DE,round-trip,Economy,6,19,4,84.67
2024-W01,CGN,DE,DUB,IE,FR,0,AT,one-way,Economy,7,180,3,37.0
2024-W01,CGN,DE,DUS,DE,U2,0,IE,one-way,Economy,13,72,1,39.02
2024-W01,CGN,DE,DUS,DE,FR,0,AT,round-trip,Economy,11,12,4,38.74
2024-W01,CGN,DE,DUS,DE,EW,1,DK,round-trip,Economy,12,46,3,43.78
2024-W01,CGN,DE,DUS,DE,LH,0,IT,round-trip,Economy,14,112,1,79.87
2024-W01,CGN,DE,DUS,DE,VY,0,DE,round-trip,Economy,5,63,7,49.16
2024-W01,CGN,DE,DUS,DE,FR,0,FR,round-trip,Premium Economy,14,32,5,63.25
2024-W01,CGN,DE,DUS,DE,W6,0,GB,round-trip,Economy,10,20,2,43.37
2024-W01,CGN,DE,DUS,DE,LH,0,DE,round-trip,Economy,26,68,0,50.01
2024-W01,CGN,DE,EDI,GB,EW,0,FR,round-trip,Economy,12,11,2,49.0
2024-W01,CGN,DE,EDI,GB,VY,0,PL,one-way,Economy,10,18,1,55.56
2024-W01,CGN,DE,EDI,GB,FR,0,CH,round-trip,Economy,20,56,3,36.92
2024-W01,CGN,DE,EDI,GB,U2,0,ES,one-way,Economy,14,21,1,47.57
2024-W01,CGN,DE,EDI,GB,FR,0,AT,one-way,Economy,9,7,3,50.23
2024-W01,CGN,DE,EDI,GB,LH,0,CH,round-trip,Economy,10,47,2,85.83
2024-W01,CGN,DE,EDI,GB,EW,0,DE,one-way,Economy,14,75,7,48.59
2024-W01,CGN,DE,FAO,PT,FR,0,IE,one-way,Economy,6,32,2,36.75
2024-W01,CGN,DE,FAO,PT,AB,0,BE,one-way,Economy,12,95,4,49.21
2024-W01,CGN,DE,FAO,PT,LH,1,DE,round-trip,Premium Economy,11,6,3,101.95
2024-W01,CGN,DE,FAO,PT,EW,0,IT,one-way,Business,3,38,2,136.6
2024-W01,CGN,DE,FAO,PT,EW,0,CH,round-trip,Premium Economy,17,108,3,95.73
2024-W01,CGN,DE,FAO,PT,EW,1,FR,round-trip,Premium Economy,5,65,3,54.07
2024-W01,CGN,DE,FAO,PT,U2,0,DE,round-trip,Economy,2,24,7,46.48
